condition,conv_id,turn_index,n_turns,cosine_semanticL
C2-P2,4152,0,32,0.6020114027993266
C2-P2,4152,1,32,0.7539888893342701
C2-P2,4152,2,32,0.47216253586868584
C2-P2,4152,3,32,0.4737686641201009
C2-P2,4152,4,32,0.4544748564283343
C2-P2,4152,5,32,0.7405617814533335
C2-P2,4152,6,32,0.7604547427205747
C2-P2,4152,7,32,0.4273488944366397
C2-P2,4152,8,32,0.5327012238272565
C2-P2,4152,9,32,0.8058144524373793
C2-P2,4152,10,32,0.5828435762557401
C2-P2,4152,11,32,0.45021223968635715
C2-P2,4152,12,32,0.39995267227370657
C2-P2,4152,13,32,0.3765255248175726
C2-P2,4152,14,32,0.37474240800316483
C2-P2,4152,15,32,0.6788964836566304
C2-P2,4152,16,32,0.6031381614594964
C2-P2,4152,17,32,0.39218578640907387
C2-P2,4152,18,32,0.631754029533627
C2-P2,4152,19,32,0.39626427542989073
C2-P2,4152,20,32,0.6788776405834434
C2-P2,4152,21,32,0.44032276375529167
C2-P2,4152,22,32,0.6880129958081808
C2-P2,4152,23,32,0.36377495750856426
C2-P2,4152,24,32,0.4092336184303784
C2-P2,4152,25,32,0.5939250417170343
C2-P2,4152,26,32,0.6175614648551787
C2-P2,4152,27,32,0.4101147504630205
C2-P2,4152,28,32,0.5024347938100088
C2-P2,4103,0,32,0.6087171037942191
C2-P2,4103,1,32,0.6076890011743128
C2-P2,4103,2,32,0.7194679360776812
C2-P2,4103,3,32,0.6484823570429692
C2-P2,4103,4,32,0.49369558008755754
C2-P2,4103,5,32,0.6587172394473978
C2-P2,4103,6,32,0.5712344601459859
C2-P2,4103,7,32,0.7761303379961828
C2-P2,4103,8,32,0.7403301273980772
C2-P2,4103,9,32,0.5224261002794748
C2-P2,4103,10,32,0.8281395799167344
C2-P2,4103,11,32,0.7616271154236556
C2-P2,4103,12,32,0.5912961760144182
C2-P2,4103,13,32,0.6206542889230386
C2-P2,4103,14,32,0.5683549739547648
C2-P2,4103,15,32,0.37643704468808314
C2-P2,4103,16,32,0.3779277447041658
C2-P2,4103,17,32,0.35015491855640946
C2-P2,4103,18,32,0.399009884547886
C2-P2,4103,19,32,0.4988658855455965
C2-P2,4103,20,32,0.3428211055709467
C2-P2,4103,21,32,0.4976867858223861
C2-P2,4103,22,32,0.651939782820098
C2-P2,4103,23,32,0.5285784833788558
C2-P2,4103,24,32,0.7371700519820812
C2-P2,4103,25,32,0.607716375751762
C2-P2,4103,26,32,0.5564446813863436
C2-P2,4103,27,32,0.6541196214730319
C2-P2,4103,28,32,0.3394326384609233
C3-P0,4321,0,27,0.49517686895577406
C3-P0,4321,1,27,0.6057230782424551
C3-P0,4321,2,27,0.7927149619483619
C3-P0,4321,3,27,0.6108724209995642
C3-P0,4321,4,27,0.7555517867631074
C3-P0,4321,5,27,0.6478062694391032
C3-P0,4321,6,27,0.7720263215907067
C3-P0,4321,7,27,0.7824443779851039
C3-P0,4321,8,27,0.7434969252240872
C3-P0,4321,9,27,0.7230780386628296
C3-P0,4321,10,27,0.7349668023176958
C3-P0,4321,11,27,0.5919671969895436
C3-P0,4321,12,27,0.8459500730157798
C3-P0,4321,13,27,0.7034170148378864
C3-P0,4321,14,27,0.7151471676446054
C3-P0,4321,15,27,0.515867394470488
C3-P0,4321,16,27,0.8071903055859768
C3-P0,4321,17,27,0.7685093021155023
C3-P0,4321,18,27,0.8046250275887412
C3-P0,4321,19,27,0.5271833157644679
C3-P0,4321,20,27,0.7364599475857138
C3-P0,4321,21,27,0.6202245038008253
C3-P0,4321,22,27,0.4959684506369396
C3-P0,4321,23,27,0.34309579397442924
C3-P2,4103,0,18,0.6706061803032911
C3-P2,4103,1,18,0.6527744118180471
C3-P2,4103,2,18,0.7686360285112255
C3-P2,4103,3,18,0.7224056258958492
C3-P2,4103,4,18,0.5550502829850993
C3-P2,4103,5,18,0.6083123408157689
C3-P2,4103,6,18,0.5559725983636302
C3-P2,4103,7,18,0.5591238421043554
C3-P2,4103,8,18,0.7183039927450638
C3-P2,4103,9,18,0.6156425091688561
C3-P2,4103,10,18,0.5574095914260622
C3-P2,4103,11,18,0.6645771813606929
C3-P2,4103,12,18,0.67376208477629
C3-P2,4103,13,18,0.5832884962512576
C3-P2,4103,14,18,0.6395415911428566
C2-P0,4340,0,32,0.351318911801239
C2-P0,4340,1,32,0.5977879730701273
C2-P0,4340,2,32,0.8147120072529026
C2-P0,4340,3,32,0.8195959963992618
C2-P0,4340,4,32,0.7158849905318023
C2-P0,4340,5,32,0.5019978230520905
C2-P0,4340,6,32,0.5679943848773945
C2-P0,4340,7,32,0.6561112719584724
C2-P0,4340,8,32,0.8606820309586541
C2-P0,4340,9,32,0.7337653745574889
C2-P0,4340,10,32,0.7342703634969968
C2-P0,4340,11,32,0.6967462855171944
C2-P0,4340,12,32,0.571936082178772
C2-P0,4340,13,32,0.5623811671726986
C2-P0,4340,14,32,0.7178679622029459
C2-P0,4340,15,32,0.7258003333852809
C2-P0,4340,16,32,0.7745673433275624
