source,condition,architecture,prompt_level,conversation_id,topic,n_turns,rate_A_task_help_advice,rate_B_social_continuation,rate_C_phatic_bonding,rate_D_grounding_backchannel,rate_E_personal_stance_experience,rate_G_repair_clarification,rate_H_assistant_explanation,ADI,social_rate,topic_health,reciprocity,TSI_proxy,CAS,cas_turns
LLM,C1-P0,C1,P0,C1-P0/2095,Weather Climate,21,0.0,0.5714285714285714,0.19047619047619047,0.0,0.19047619047619047,0.0,0.0,0.0,0.9523809523809523,0.5238095238095238,0.7545454545454546,88.66233766233766,0.10171666182110276,20
LLM,C1-P0,C1,P0,C1-P0/2451,Soviet Union,22,0.045454545454545456,0.7727272727272727,0.0,0.0,0.5454545454545454,0.0,0.0,0.045454545454545456,1.3181818181818181,0.36363636363636365,0.7272727272727273,87.04545454545455,0.26272450708310113,21
LLM,C1-P0,C1,P0,C1-P0/3389,Football,28,0.0,0.5714285714285714,0.07142857142857142,0.0,0.21428571428571427,0.03571428571428571,0.0,0.0,0.8928571428571428,0.2857142857142857,1.0,89.10714285714285,0.06180186474674164,27
LLM,C1-P0,C1,P0,C1-P0/3902,Care Of The Elderly,19,0.10526315789473684,0.5263157894736842,0.0,0.0,0.15789473684210525,0.0,0.05263157894736842,0.15789473684210525,0.6842105263157894,0.2631578947368421,0.7333333333333334,72.29824561403508,0.10225826601257514,18
LLM,C1-P0,C1,P0,C1-P0/4036,Trial By Jury,21,0.23809523809523808,0.8571428571428571,0.0,0.0,0.42857142857142855,0.0,0.0,0.23809523809523808,1.2857142857142856,0.42857142857142855,0.7,82.33333333333334,0.0637701998650364,20
LLM,C1-P0,C1,P0,C1-P0/4048,Drug Testing,12,0.0,0.6666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,1.1666666666666665,1.0,1.0,100.0,0.09890676837750761,11
LLM,C1-P0,C1,P0,C1-P0/4060,Job Benefits,22,0.045454545454545456,0.8636363636363636,0.0,0.0,0.36363636363636365,0.0,0.0,0.045454545454545456,1.2272727272727273,0.9090909090909091,0.9090909090909092,96.13636363636364,0.18586554827167096,21
LLM,C1-P0,C1,P0,C1-P0/4082,News Media,21,0.14285714285714285,0.5238095238095238,0.19047619047619047,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,1.0,0.7142857142857143,0.9363636363636364,88.72727272727273,0.08008139485990783,20
LLM,C1-P0,C1,P0,C1-P0/4096,Recycling,16,0.1875,0.9375,0.0,0.0,0.5,0.0,0.0,0.1875,1.4375,0.875,0.875,91.5625,0.15628956923991238,15
LLM,C1-P0,C1,P0,C1-P0/4103,Family Finance,21,0.19047619047619047,0.47619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.19047619047619047,0.5238095238095237,0.6190476190476191,0.47272727272727266,64.21645021645021,0.1351076782235548,20
LLM,C1-P0,C1,P0,C1-P0/4104,Family Finance,21,0.09523809523809523,0.6666666666666666,0.0,0.0,0.2857142857142857,0.0,0.0,0.09523809523809523,0.9523809523809523,0.6190476190476191,0.7454545454545454,87.05194805194805,0.08199251946766205,20
